,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
序号,转债名称,转债代码,进展/上市日,股票名称,股票代码,行业,转债价格,涨跌,盘中套利,股价,涨跌,转债成交额,转债换手率,转股价格,P/B,股价/转股价,转股溢价率,剩余年限,回售年限,余额/市值,余额/股本,转债余额,税前收益率,税后收益率,加权收益率,税前回售收益,税后回售收益,回售价值,转股价值,纯债价值,期权价值,内在价值,价值溢价,历史波动,隐含波动,预测波动,弹性,涨修正弹,跌修正弹,信用,折现率,热门度
72,千禾转债,113511,2018-07-10,千禾味业,603027,食品饮料,109.76,2.10%,-0.06%,22.12,3.70%,13,3.30%,25.85,5.66,-14.40%,28.30%,5.26年,3.26年,4.90%,4.20%,3.6,0.58%,0.13%,0.49%,-1.69%,-1.89%,87.46,85.57,87.43,15.08,102.51,7.10%,59%,27%,16%,0.55,-1.29,2.49,AA-,5.10%,34
73,广电转债,110044,2018-07-24,广电网络,600831,传媒娱乐,132.82,4.57%,0.47%,9.22,5.73%,62,15.30%,6.91,1.75,33.40%,-0.50%,5.27年,3.27年,5.00%,6.70%,3.1,-3.02%,-3.45%,-3.11%,-6.98%,-7.16%,90.11,133.43,91.41,50.96,142.37,-6.70%,39%,<2%,17%,0.88,2.18,-0.28,AA,4.20%,14
74,湖广转债,127007,2018-08-01,湖北广电,665,传媒娱乐,118.28,2.35%,-0.47%,9.3,2.42%,13,0.70%,7.92,0.98,17.40%,0.70%,5.28年,3.28年,28.10%,33.00%,16.6,-0.78%,-1.24%,-0.87%,-3.68%,-3.90%,90.45,117.42,91.78,36.91,128.69,-8.10%,31%,<2%,17%,0.78,2.45,-0.69,AA+,4.20%,36
75,博世转债,123010,2018-08-14,博世科,300422,城市公用设施,104.61,1.44%,-0.47%,11.81,1.90%,2.4,0.50%,14.3,3.17,-17.40%,26.70%,5.30年,3.30年,10.20%,8.50%,4.3,1.55%,1.08%,1.46%,-0.23%,-0.44%,87.2,82.59,87.02,14.28,101.3,3.30%,69%,22%,17%,0.51,-0.67,1.71,AA-,5.20%,34
76,景旺转债,113512,2018-07-24,景旺电子,603228,电子,132.68,2.93%,-0.28%,66.63,2.98%,15,1.60%,49.85,7.35,33.70%,-0.70%,5.30年,3.30年,2.50%,3.40%,7,-2.99%,-3.42%,-3.08%,-6.90%,-7.09%,90.09,133.66,91.43,50.65,142.08,-6.60%,38%,<2%,16%,0.89,2.19,-0.27,AA,4.20%,12
77,安井转债,113513,2018-07-31,安井食品,603345,食品饮料,114.66,1.31%,-0.98%,37.55,0.43%,6.4,1.10%,35.46,4.44,5.90%,8.30%,5.32年,3.32年,6.20%,6.50%,5,-0.26%,-0.71%,-0.35%,-2.89%,-3.09%,88.77,105.89,89.55,28.24,117.78,-2.70%,51%,11%,16%,0.77,0.89,0.66,AA-,4.60%,18
78,海澜转债,110045,2018-07-31,海澜之家,600398,服装纺织,108.15,1.86%,-0.27%,9.97,3.75%,16,0.50%,12.4,3.85,-19.60%,34.50%,5.32年,3.32年,6.70%,5.40%,30,0.65%,0.24%,0.57%,-1.45%,-1.61%,88.09,80.4,88.53,11.18,99.71,8.50%,30%,28%,16%,0.43,-1.35,2.29,AA+,4.60%,32
79,盛路转债!,128041,2018-08-14,盛路通信,2446,通信互联网,137.103,3.47%,0.05%,9.5,3.71%,18,6.50%,6.88,2.56,38.10%,-0.70%,5.33年,3.33年,2.60%,3.60%,2.1,-3.23%,-3.72%,-3.32%,-7.68%,-7.87%,90.52,138.08,93.66,51.41,145.07,-5.50%,52%,<2%,16%,0.95,2.17,-0.15,AA,4.10%,26
80,德尔转债,123011,2018-08-14,德尔股份,300473,汽车,114.998,2.68%,-0.94%,38.4,2.29%,9.8,1.60%,34.96,2.22,9.80%,4.70%,5.33年,2.84年,13.80%,15.20%,5.6,0.43%,-0.15%,0.31%,-3.54%,-3.74%,90.37,109.84,92.99,29.95,122.94,-6.50%,45%,<2%,17%,0.76,1.71,-0.1,AA-,4.60%,48
81,威帝转债,113514,2018-08-13,威帝股份,603023,汽车,108.85,1.48%,-0.41%,6.01,1.52%,5,2.30%,5.92,3.85,1.50%,7.20%,4.34年,2.34年,9.20%,9.40%,2,0.56%,0.07%,0.47%,-2.48%,-2.65%,90.81,101.52,90.94,23.44,114.38,-4.80%,71%,11%,18%,0.71,1.23,0.23,A+,4.90%,58
82,万顺转债,123012,2018-08-29,万顺股份,300057,造纸包装印刷,121.23,1.28%,-0.41%,7.8,1.04%,15,3.20%,6.47,1.29,20.60%,0.60%,5.34年,3.34年,9.10%,10.90%,3.7,-1.62%,-2.00%,-1.69%,-4.37%,-4.57%,89.38,120.56,88.83,42.23,131.06,-7.50%,46%,<2%,18%,0.84,2.19,-0.37,AA-,4.40%,36
83,高能转债,113515,2018-08-27,高能环境,603588,城市公用设施,117.28,0.73%,0.50%,10.26,1.58%,2.7,0.30%,9.38,2.77,9.40%,7.20%,5.35年,3.35年,12.40%,13.60%,8.4,-0.66%,-1.10%,-0.74%,-3.44%,-3.64%,89.21,109.38,90.19,30.63,120.82,-2.90%,67%,13%,16%,0.78,1.07,0.51,AA,4.40%,36
84,横河转债,123013,2018-08-20,横河模具,300539,机械装备制造,148.3,-12.20%,3.03%,13.91,-10.00%,386,540%,9.26,7.58,50.20%,-1.30%,5.35年,3.35年,1.60%,2.40%,0.5,-4.50%,-5.00%,-4.60%,-9.53%,-9.74%,90.6,150.22,93.78,65.77,159.55,-7.10%,77%,<2%,17%,0.92,2.29,-0.3,A+,4.20%,38
85,凯中转债,128042,2018-09-03,凯中精密,2823,能源电力,111.1,2.59%,-2.34%,12.83,0.39%,7.4,1.60%,13.25,2.85,-3.20%,14.70%,5.37年,3.37年,11.10%,10.80%,4.2,1.04%,0.46%,0.92%,-1.92%,-2.13%,88.28,96.83,91.93,21.05,112.98,-1.70%,68%,13%,17%,0.63,0.52,0.75,AA,4.70%,54
86,凯发转债,123014,2018-08-21,凯发电气,300407,能源电力,114.19,2.12%,-1.51%,8.58,0.82%,2.9,0.70%,8.15,2.42,5.30%,8.50%,4.36年,2.36年,14.80%,15.50%,3.5,-0.97%,-1.37%,-1.05%,-4.30%,-4.47%,90.96,105.28,89.64,26.97,116.61,-2.10%,64%,13%,18%,0.74,0.76,0.73,A+,4.80%,24
87,吴银转债,113516,2018-08-20,吴江银行,603323,金融,126.81,2.18%,-0.21%,7.95,2.45%,58,3.50%,6.34,1.29,25.40%,1.10%,5.37年,无权,10.20%,12.80%,13.2,-1.74%,-2.24%,-1.84%,无权,无权,无权,125.39,93.13,43.37,136.5,-7.10%,49%,<2%,18%,0.8,2.26,-0.49,AA+,4.20%,38
88,东音转债,128043,2018-08-27,东音股份,2793,机械装备制造,116.65,1.34%,-1.15%,12.93,0.23%,25,7.60%,11.43,3.06,13.10%,3.10%,5.37年,3.37年,10.80%,12.20%,2.8,-0.19%,-0.70%,-0.29%,-3.27%,-3.46%,88.95,113.12,91.54,34.01,125.55,-7.10%,70%,<2%,17%,0.79,1.93,-0.22,AA-,4.50%,32
89,曙光转债,113517,2018-08-23,中科曙光,603019,计算机及应用,126.65,1.53%,0.38%,59.6,2.34%,51,3.60%,51.28,11.42,16.20%,9.00%,5.38年,3.38年,2.90%,3.40%,11.2,-2.09%,-2.52%,-2.17%,-5.50%,-5.69%,89.34,116.22,90.46,36.16,126.62,0.00%,60%,18%,16%,0.82,0.53,1.11,AA,4.40%,6
90,蓝盾转债,123015,2018-09-13,蓝盾股份,300297,计算机及应用,127.1,2.29%,0.37%,7.45,3.04%,42,10.60%,5.82,2.09,28.00%,-0.70%,5.40年,3.40年,3.50%,4.50%,3.1,-2.14%,-2.57%,-2.23%,-5.56%,-5.75%,89.6,128.01,90.88,46.12,137,-7.20%,37%,<2%,16%,0.87,2.26,-0.36,AA,4.30%,52
91,岭南转债,128044,2018-09-04,岭南股份,2717,城市公用设施,110.8,2.01%,-0.17%,9.04,3.43%,16,2.20%,10.63,2.19,-15.00%,30.30%,5.41年,3.41年,7.10%,6.10%,6.6,0.22%,-0.19%,0.14%,-1.88%,-2.07%,87.38,85.04,86.86,15.2,102.05,8.60%,68%,28%,16%,0.54,-1.46,2.66,AA,4.90%,24
92,机电转债,128045,2018-09-14,中航机电,2013,航空航天,116.41,0.35%,1.75%,7.45,3.47%,16,0.60%,7.66,3.03,-2.70%,19.70%,5.44年,3.44年,7.80%,7.60%,21,-1.05%,-1.39%,-1.12%,-3.23%,-3.41%,89.94,97.26,89.2,22.29,111.49,4.40%,56%,26%,16%,0.61,-0.24,1.45,AAA,4.00%,8
93,顾家转债,113518,2018-10-09,顾家家居,603816,其他,121.09,3.86%,0.28%,58,5.30%,22,1.70%,52.2,5.86,11.10%,9.00%,5.49年,3.49年,4.40%,4.90%,11,-0.91%,-1.39%,-1.00%,-4.17%,-4.35%,88.72,111.11,91.28,31.38,122.66,-1.30%,39%,15%,16%,0.78,0.71,0.85,AA,4.40%,10
94,利尔转债,128046,2018-11-09,利尔化学,2258,石油天然气化工,112.897,1.30%,0.07%,17.1,2.21%,12,1.20%,18.82,3.03,-9.10%,24.30%,5.58年,3.58年,9.50%,8.60%,8.5,0.07%,-0.37%,-0.02%,-2.24%,-2.43%,87.34,90.86,87.84,18.6,106.43,6.10%,61%,25%,16%,0.62,-1.01,2.31,AA,4.80%,12
95,光电转债,128047,2018-12-07,中航光电,2179,机械装备制造,119.53,0.34%,1.03%,43.73,1.82%,7.3,0.50%,40.26,6.27,8.60%,10.00%,5.63年,3.63年,3.80%,4.10%,13,-1.49%,-1.81%,-1.55%,-3.74%,-3.91%,88.49,108.62,87.4,32.26,119.66,-0.10%,34%,19%,16%,0.76,0.62,0.9,AA+,4.20%,10
96,长久转债,113519,2018-11-30,长久物流,603569,交通运输,115.18,4.09%,-2.27%,12.77,2.57%,18,2.20%,11.99,3.18,6.50%,8.10%,5.64年,3.64年,9.80%,10.40%,7,0.83%,0.20%,0.71%,-2.65%,-2.85%,87.95,106.51,94.15,27.05,121.2,-5.00%,52%,7%,17%,0.71,1.33,0.15,AA,4.60%,22
97,洲明转债,123016,2018-12-03,洲明科技,300232,电子,134.8,2.90%,-1.92%,13,1.09%,3.3,0.50%,9.45,4.7,37.60%,-2.00%,5.64年,3.64年,5.50%,7.60%,5.5,-2.71%,-3.18%,-2.81%,-6.59%,-6.78%,89.23,137.57,92.1,54.14,146.24,-7.80%,69%,<2%,16%,0.9,2.45,-0.46,AA-,4.20%,20
98,百合转债,113520,2018-11-26,梦百合,603313,其他,137.98,0.58%,2.67%,27.07,3.56%,16,2.20%,19.03,3.97,42.20%,-3.00%,5.64年,3.64年,7.80%,11.10%,5.1,-3.13%,-3.60%,-3.22%,-7.21%,-7.39%,89.04,142.25,92.08,59.27,151.35,-8.80%,41%,<2%,16%,0.91,2.71,-0.66,AA-,4.20%,16
99,张行转债,128048,2018-11-29,张家港行,2839,金融,118.5,2.33%,-0.44%,7.02,2.48%,52,1.80%,6.06,1.42,15.80%,2.30%,5.65年,无权,19.70%,22.80%,25,-0.65%,-1.10%,-0.74%,无权,无权,无权,115.84,90.79,37.26,128.06,-7.50%,57%,<2%,18%,0.76,2.24,-0.54,AA+,4.20%,36
100,科森转债,113521,2018-12-07,科森科技,603626,通信互联网,113.92,0.68%,0.09%,10.19,0.99%,20,2.90%,8.95,2.42,13.90%,0.10%,5.66年,3.66年,14.40%,16.40%,6.1,0.28%,-0.22%,0.18%,-2.37%,-2.56%,88.21,113.85,90.87,36.51,127.38,-10.60%,64%,<2%,18%,0.77,2.82,-0.99,AA,4.50%,72
101,特发转债,127008,2018-12-25,特发信息,70,通信互联网,182.98,2.32%,-0.29%,15.22,2.08%,661,87.10%,6.78,4.49,124%,-18.50%,4.66年,2.66年,4.40%,9.90%,4.2,-10.20%,-10.60%,-10.30%,-12.30%,-12.40%,91.45,224.48,92.9,136.27,229.17,-20.20%,60%,<2%,17%,0.98,6.24,-3.03,AA,4.00%,36
102,桐昆转债,113020,2018-12-12,桐昆股份,601233,服装纺织,124.42,9.04%,-1.55%,13.86,10.00%,559,12.30%,12.63,1.65,9.70%,13.40%,5.67年,3.67年,15.00%,16.50%,38,-1.69%,-2.10%,-1.78%,-4.69%,-4.86%,88.42,109.74,89.69,31.52,121.21,2.60%,48%,18%,16%,0.75,0.05,1.44,AA+,4.30%,24
103,圆通转债,110046,2018-12-18,圆通速递,600233,交通运输,125.09,1.91%,-0.28%,13.05,2.03%,40,0.90%,10.89,3.59,19.80%,4.40%,5.67年,3.67年,9.90%,11.80%,36.5,-1.41%,-1.88%,-1.50%,-4.72%,-4.90%,89.04,119.83,91.97,38.44,130.41,-4.10%,61%,<2%,16%,0.8,1.53,0.13,AA+,4.20%,36
104,寒锐转债,123017,2018-12-24,寒锐钴业,300618,有色金属,112.82,3.22%,0.51%,84.87,4.82%,38,7.70%,81.49,9.12,4.10%,8.30%,5.67年,3.67年,2.70%,2.80%,4.4,-0.27%,-0.63%,-0.35%,-2.21%,-2.39%,87.41,104.15,86.64,29.11,115.75,-2.50%,78%,14%,16%,0.77,0.86,0.7,AA-,4.60%,44
105,山鹰转债,110047,2018-12-10,山鹰纸业,600567,造纸包装印刷,119.23,3.27%,-0.25%,4.05,3.85%,120,4.40%,3.34,1.53,21.30%,-1.70%,5.68年,3.68年,12.40%,15.00%,23,-0.11%,-0.67%,-0.22%,-3.56%,-3.74%,88.73,121.26,94.15,38.89,133.04,-10.40%,29%,<2%,16%,0.78,3.01,-1.12,AA+,4.20%,66
106,旭升转债,113522,2018-12-11,旭升股份,603305,汽车,122,0.84%,-1.90%,37.75,-1.26%,15,2.90%,29.86,11.26,26.40%,-3.50%,5.68年,3.68年,2.80%,3.50%,4.2,-0.25%,-0.86%,-0.37%,-4.15%,-4.32%,88.36,126.42,95.02,41.61,136.63,-10.70%,64%,<2%,16%,0.84,3.03,-1.04,AA,4.30%,20
107,华源转债,128049,2018-12-20,华源控股,2787,造纸包装印刷,111.4,2.10%,0.27%,8.25,3.13%,7.5,1.70%,7.57,1.89,9.00%,2.20%,5.69年,3.69年,15.50%,16.90%,4,0.68%,0.18%,0.58%,-1.77%,-1.97%,87.6,108.98,90.01,33.13,123.14,-9.50%,75%,<2%,18%,0.76,2.41,-0.69,AA-,4.60%,64
108,福能转债,110048,2018-12-28,福能股份,600483,能源电力,118.27,1.60%,-0.65%,9.51,1.28%,6.9,0.20%,8.69,1.35,9.40%,8.10%,5.72年,3.72年,19.20%,21.00%,28.3,-0.61%,-1.05%,-0.69%,-3.33%,-3.51%,88.4,109.44,90.44,30.81,121.25,-2.50%,30%,12%,16%,0.74,1.09,0.42,AA+,4.30%,10
109,伟明转债,113523,2018-12-26,伟明环保,603568,城市公用设施,111.02,1.43%,-0.45%,25.15,1.33%,2.1,0.30%,23.92,6.3,5.10%,5.60%,5.73年,3.73年,3.90%,4.10%,6.7,0.67%,0.19%,0.58%,-1.73%,-1.91%,87.54,105.14,89.96,27.83,117.79,-5.70%,43%,<2%,16%,0.74,1.56,0,AA,4.50%,28
110,钧达转债,128050,2018-12-27,钧达股份,2865,汽车,108.01,1.23%,-0.09%,21.09,1.83%,8.2,2.40%,21.74,2.97,-3.00%,11.30%,5.73年,3.73年,12.50%,12.10%,3.2,2.51%,1.78%,2.36%,-0.87%,-1.09%,86.72,97.01,94.64,22,116.65,-7.40%,66%,9%,18%,0.62,1.56,-0.23,AA-,5.00%,72
111,光华转债,128051,2019-01-09,光华科技,2741,汽车,108.32,2.18%,0.04%,15.85,3.46%,2.3,0.90%,17.03,4.93,-6.90%,16.40%,5.74年,3.74年,4.20%,3.90%,2.5,1.23%,0.72%,1.12%,-0.97%,-1.18%,86.74,93.07,88.68,21.63,110.31,-1.80%,38%,16%,17%,0.64,0.38,0.9,AA-,4.90%,20
112,奇精转债,113524,2019-01-07,奇精机械,603677,家电,109,1.64%,-1.05%,15.22,0.86%,6,1.70%,14.76,3.1,3.10%,5.70%,5.74年,3.74年,11.10%,11.40%,3.3,1.46%,0.90%,1.35%,-1.25%,-1.44%,87.15,103.12,91.71,26.83,118.53,-8.00%,61%,<2%,18%,0.69,2,-0.47,AA,4.60%,58
113,台华转债,113525,2019-01-11,台华新材,603055,服装纺织,117.27,4.99%,1.02%,12.86,7.80%,34,5.60%,11.56,2.82,11.20%,5.40%,5.75年,3.75年,7.50%,8.40%,5.3,-0.30%,-0.77%,-0.39%,-3.09%,-3.27%,87.64,111.25,90.15,34.02,124.17,-5.60%,47%,10%,17%,0.77,1.61,0.01,AA,4.50%,6
114,海尔转债,110049,2019-01-18,青岛海尔,600690,家电,126.6,2.07%,-0.20%,17.26,2.37%,54,1.40%,14.55,2.99,18.60%,6.70%,5.75年,3.75年,2.70%,3.20%,30.1,-2.45%,-2.76%,-2.51%,-5.04%,-5.20%,88.86,118.63,88.12,40.22,128.34,-1.40%,32%,15%,16%,0.79,1.1,0.5,AAA,4.00%,26
115,佳都转债,110050,2019-01-21,佳都科技,600728,计算机及应用,133.23,2.54%,-1.14%,11.27,1.53%,92,8.00%,7.95,5.54,41.80%,-6.00%,5.75年,3.75年,4.80%,6.80%,8.8,-2.67%,-3.10%,-2.76%,-6.22%,-6.38%,88.56,141.76,90.74,58.99,149.73,-11.00%,71%,<2%,16%,0.91,3.31,-1.13,AA,4.20%,14
116,溢利转债,123018,2019-01-23,溢多利,300381,医药,121.38,6.94%,0.05%,10.79,8.01%,98,12.50%,8.41,2.2,28.30%,-5.40%,5.76年,3.76年,15.20%,19.40%,6.7,-0.90%,-1.37%,-1.00%,-3.94%,-4.12%,88.08,128.3,90.81,47.22,138.03,-12.10%,78%,<2%,17%,0.87,3.38,-1.25,AA-,4.30%,46
117,凯龙转债,128052,2019-01-21,凯龙股份,2783,石油天然气化工,123.3,4.23%,-0.88%,9.19,3.84%,134,32.20%,6.97,2.11,31.90%,-6.50%,5.76年,3.76年,10.80%,14.20%,3.3,-1.15%,-1.62%,-1.24%,-4.28%,-4.46%,88.44,131.85,91.27,50.09,141.36,-12.80%,78%,<2%,17%,0.87,3.65,-1.46,AA,4.30%,30
118,冰轮转债,127009,2019-02-21,冰轮环境,811,机械装备制造,139.56,4.85%,0.31%,8.18,5.68%,322,45.50%,5.52,1.86,48.20%,-5.80%,5.83年,3.83年,9.50%,14.10%,5.1,-3.28%,-3.72%,-3.37%,-7.20%,-7.36%,88.27,148.19,91.22,65.88,157.1,-11.20%,43%,<2%,17%,0.91,3.34,-1.16,AA,4.20%,22
119,平银转债,127010,2019-02-18,平安银行,1,金融,118.75,1.29%,0.89%,12.91,3.28%,297,1.00%,11.77,1.01,9.70%,8.30%,5.84年,无权,11.70%,12.90%,260,-0.11%,-0.65%,-0.22%,无权,无权,无权,109.69,94.35,32.01,126.36,-6.00%,29%,8%,16%,0.67,2.04,-0.55,AAA,4.00%,50
120,联泰转债,113526,2019-02-18,联泰环保,603797,城市公用设施,112.39,1.95%,-0.01%,13.56,2.49%,3,0.70%,12.31,2.74,10.20%,2.00%,5.85年,3.85年,13.50%,14.90%,3.9,-0.20%,-0.55%,-0.27%,-2.02%,-2.19%,87.13,110.15,86.55,35.63,122.18,-8.00%,50%,<2%,18%,0.78,2.2,-0.48,AA,4.40%,20
121,维格转债,113527,2019-02-19,维格娜丝,603518,服装纺织,113.33,2.61%,-1.23%,16.67,1.89%,22,2.70%,14.96,1.32,11.40%,1.70%,5.85年,3.85年,24.80%,27.60%,7.5,1.10%,0.49%,0.98%,-2.13%,-2.31%,87.19,111.43,93.53,32.65,126.18,-10.20%,39%,<2%,18%,0.73,2.61,-0.9,AA,4.50%,40
122,尚荣转债,128053,2019-03-07,尚荣医疗,2551,医药,120.15,0.96%,-0.41%,6.34,0.63%,75,8.40%,4.94,1.93,28.30%,-6.40%,5.91年,3.91年,16.80%,21.50%,7.5,-0.71%,-1.16%,-0.80%,-3.55%,-3.72%,87.73,128.34,90.56,46.97,137.52,-12.60%,43%,<2%,16%,0.87,3.6,-1.42,AA,4.30%,50
123,中宠转债,128054,2019-03-14,中宠股份,2891,农业,114,0.88%,0.71%,39.17,2.06%,39,17.70%,37.97,5.34,3.20%,10.50%,5.91年,3.91年,5.00%,5.10%,1.9,0.24%,-0.23%,0.15%,-2.26%,-2.44%,86.42,103.16,88.7,27.8,116.5,-2.10%,49%,15%,16%,0.78,0.57,0.98,A+,4.70%,4
