,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
序号,转债名称,转债代码,股票名称,股票代码,行业,转债价格,涨跌,盘中套利,股价,涨跌,转债成交额,转债换手率,转股价格,P/B,股价/转股价,转股溢价率,剩余年限,回售年限,余额/市值,余额/股本,转债余额,税前收益率,税后收益率,加权收益率,税前回售收益,税后回售收益,回售价值,转股价值,纯债价值,期权价值,内在价值,价值溢价,历史波动,隐含波动,预测波动,弹性,涨修正弹,跌修正弹,信用,折现率,热门度
74,湖广转债,127007,湖北广电,665,传媒娱乐,115.7,-3.06%,-0.98%,9.11,-5.30%,51,2.60%,7.92,0.96,15.00%,0.60%,5.29年,3.29年,29.10%,33.50%,16.9,-0.35%,-0.81%,-0.45%,-3.04%,-3.26%,90.35,115.03,91.66,35.04,126.71,-8.70%,31%,<2%,17%,0.76,2.56,-0.8,AA+,4.20%,38
75,博世转债,123010,博世科,300422,城市公用设施,104.5,-0.26%,-0.09%,11.8,-0.67%,7.3,1.60%,14.3,3.17,-17.50%,26.60%,5.31年,3.31年,10.20%,8.50%,4.3,1.57%,1.10%,1.47%,-0.20%,-0.41%,87.13,82.52,86.96,14.28,101.24,3.20%,69%,22%,17%,0.51,-0.66,1.7,AA-,5.20%,29
76,景旺转债,113512,景旺电子,603228,电子,131.59,-3.26%,-0.89%,65.49,-4.70%,58,5.70%,49.85,7.22,31.40%,0.20%,5.31年,3.31年,2.90%,3.80%,7.7,-2.83%,-3.26%,-2.91%,-6.65%,-6.84%,90,131.37,91.31,48.7,140.02,-6.00%,38%,<2%,16%,0.88,2.02,-0.14,AA,4.20%,13
77,安井转债,113513,安井食品,603345,食品饮料,109.72,-0.07%,0.26%,34.68,0.26%,11,1.90%,35.46,4.1,-2.20%,12.20%,5.33年,3.33年,6.70%,6.50%,5,0.58%,0.13%,0.49%,-1.64%,-1.84%,88.22,97.8,88.74,22.58,111.33,-1.40%,51%,13%,16%,0.7,0.51,0.89,AA-,4.70%,13
78,海澜转债,110045,海澜之家,600398,服装纺织,105.75,-0.70%,-0.34%,9.58,-2.74%,23,0.70%,12.4,3.7,-22.70%,36.90%,5.33年,3.33年,7.00%,5.40%,30,1.08%,0.67%,1.00%,-0.81%,-0.96%,87.9,77.26,88.28,9.73,98.01,7.90%,31%,26%,16%,0.38,-1.29,2.13,AA+,4.60%,31
79,盛路转债,128041,盛路通信,2446,通信互联网,144.3,1.51%,-0.40%,9.98,1.22%,110,30.70%,6.88,2.69,45.10%,-0.50%,5.34年,3.34年,2.90%,4.20%,2.5,-4.16%,-4.64%,-4.25%,-9.00%,-9.18%,90.26,145.06,93.28,59.77,153.05,-5.70%,52%,<2%,16%,0.91,2.03,-0.09,AA,4.20%,31
80,德尔转债,123011,德尔股份,300473,汽车,113.5,-0.46%,1.45%,38.7,1.28%,20,3.10%,34.96,2.23,10.70%,2.50%,5.35年,2.85年,13.70%,15.20%,5.6,0.68%,0.10%,0.56%,-3.10%,-3.30%,90.35,110.7,93.01,30.6,123.61,-8.20%,46%,<2%,17%,0.76,2.13,-0.45,AA-,4.60%,46
81,威帝转债,113514,威帝股份,603023,汽车,108.87,-0.86%,0.27%,6.08,-0.82%,8,3.70%,5.92,3.89,2.70%,6.00%,4.35年,2.35年,9.10%,9.40%,2,0.56%,0.07%,0.46%,-2.47%,-2.64%,90.79,102.7,90.96,24.3,115.26,-5.50%,71%,9%,18%,0.71,1.4,0.09,A+,4.90%,50
82,万顺转债,123012,万顺股份,300057,造纸包装印刷,124.17,3.22%,-0.48%,8.1,3.18%,78,15.90%,6.47,1.33,25.20%,-0.80%,5.35年,3.35年,9.70%,12.10%,4,-2.06%,-2.44%,-2.14%,-5.01%,-5.20%,89.5,125.19,89.03,46.19,135.22,-8.20%,46%,<2%,18%,0.86,2.39,-0.49,AA-,4.40%,38
83,高能转债,113515,高能环境,603588,城市公用设施,117,-1.13%,0.23%,10.36,-1.15%,5.4,0.50%,9.38,2.8,10.40%,5.90%,5.37年,3.37年,12.30%,13.60%,8.4,-0.61%,-1.05%,-0.70%,-3.36%,-3.56%,89.2,110.45,90.21,31.52,121.73,-3.90%,68%,<2%,16%,0.79,1.29,0.32,AA,4.40%,35
84,横河转债,123013,横河模具,300539,机械装备制造,170,8.28%,1.14%,15.61,10.00%,240,171%,9.26,8.51,68.60%,0.80%,5.37年,3.37年,2.60%,4.30%,0.8,-6.94%,-7.42%,-7.03%,-12.60%,-12.70%,90.75,168.57,94.04,83.08,177.12,-4.00%,76%,<2%,17%,0.94,1.68,0.27,A+,4.20%,42
85,凯中转债,128042,凯中精密,2823,能源电力,108.79,-0.83%,-0.46%,12.58,-2.10%,3.8,0.80%,13.25,2.8,-5.10%,14.60%,5.38年,3.38年,11.40%,10.80%,4.2,1.44%,0.86%,1.32%,-1.33%,-1.53%,88.13,94.94,91.72,19.92,111.65,-2.60%,68%,13%,17%,0.61,0.66,0.58,AA,4.80%,50
86,凯发转债,123014,凯发电气,300407,能源电力,115.95,-1.78%,-1.37%,8.59,-4.24%,7.2,1.80%,8.15,2.42,5.40%,10.00%,4.37年,2.37年,14.70%,15.50%,3.5,-1.32%,-1.71%,-1.40%,-4.86%,-5.02%,90.92,105.4,89.6,27.11,116.7,-0.60%,64%,24%,18%,0.74,0.46,1.02,A+,4.80%,25
87,吴银转债,113516,吴江银行,603323,金融,124.25,-0.89%,-0.70%,7.82,-2.01%,49,2.90%,6.34,1.27,23.30%,0.70%,5.39年,无权,10.40%,12.90%,13.3,-1.36%,-1.86%,-1.46%,无权,无权,无权,123.34,93.02,41.69,134.71,-7.80%,49%,<2%,18%,0.79,2.4,-0.63,AA+,4.20%,40
88,东音转债,128043,东音股份,2793,机械装备制造,112,-0.11%,0.48%,12.22,0.49%,8.1,2.60%,11.43,2.89,6.90%,4.80%,5.39年,3.39年,11.50%,12.20%,2.8,0.58%,0.07%,0.48%,-2.13%,-2.33%,88.57,106.91,90.98,29.47,120.45,-7.00%,70%,8%,17%,0.75,1.81,-0.2,AA-,4.60%,29
89,曙光转债,113517,中科曙光,603019,计算机及应用,126.36,-3.64%,-3.83%,58.3,-9.25%,71,4.90%,51.28,11.17,13.70%,11.10%,5.40年,3.40年,3.00%,3.40%,11.2,-2.04%,-2.47%,-2.12%,-5.42%,-5.60%,89.22,113.69,90.3,34.18,124.48,1.50%,60%,16%,16%,0.81,0.19,1.43,AA,4.40%,4
90,蓝盾转债,123015,蓝盾股份,300297,计算机及应用,132.092,-4.28%,-1.56%,7.63,-6.61%,25,5.40%,5.82,2.14,31.10%,0.80%,5.42年,3.42年,3.70%,4.90%,3.4,-2.84%,-3.26%,-2.93%,-6.56%,-6.74%,89.61,131.1,90.92,48.84,139.76,-5.50%,37%,<2%,16%,0.88,1.89,-0.03,AA,4.20%,50
91,岭南转债,128044,岭南股份,2717,城市公用设施,108.59,-0.47%,-0.62%,8.91,-2.09%,12,1.70%,10.63,2.16,-16.20%,29.60%,5.42年,3.42年,7.20%,6.10%,6.6,0.60%,0.19%,0.52%,-1.31%,-1.50%,87.22,83.82,86.66,14.6,101.26,7.20%,68%,27%,16%,0.52,-1.26,2.39,AA,5.00%,25
92,机电转债,128045,中航机电,2013,航空航天,118.3,0.69%,-2.54%,7.63,-2.93%,56,2.20%,7.66,3.18,-0.40%,18.80%,5.46年,3.46年,7.60%,7.60%,21,-1.35%,-1.68%,-1.41%,-3.65%,-3.82%,89.89,99.61,89.15,24.05,113.2,4.50%,56%,21%,16%,0.63,-0.25,1.52,AAA,4.00%,8
93,顾家转债,113518,顾家家居,603816,其他,116.23,-0.90%,-1.57%,54.99,-3.34%,19,1.50%,52.2,5.56,5.30%,10.30%,5.50年,3.50年,4.60%,4.90%,11,-0.15%,-0.64%,-0.25%,-3.07%,-3.26%,88.41,105.34,90.83,27.23,118.06,-1.60%,39%,15%,16%,0.74,0.66,0.83,AA,4.50%,6
94,利尔转债,128046,利尔化学,2258,石油天然气化工,109.37,-0.35%,0.01%,15.9,-0.63%,2.8,0.30%,18.82,2.82,-15.50%,29.50%,5.60年,3.60年,10.20%,8.60%,8.5,0.64%,0.21%,0.56%,-1.39%,-1.58%,86.78,84.48,87.04,14.92,101.96,7.30%,61%,27%,16%,0.54,-1.29,2.47,AA,4.90%,10
95,光电转债,128047,中航光电,2179,机械装备制造,121,0.00%,-3.44%,43,-4.64%,11,0.70%,40.26,6.17,6.80%,13.30%,5.65年,3.65年,3.80%,4.10%,13,-1.70%,-2.02%,-1.76%,-4.04%,-4.21%,88.39,106.81,87.28,30.86,118.14,2.40%,34%,23%,16%,0.74,0.1,1.38,AA+,4.30%,8
96,长久转债,113519,长久物流,603569,交通运输,112.5,-2.60%,0.02%,12.87,-3.60%,51,6.40%,11.99,3.21,7.30%,4.80%,5.65年,3.65年,9.70%,10.40%,7,1.26%,0.63%,1.13%,-2.03%,-2.23%,87.95,107.34,94.17,27.69,121.86,-7.70%,52%,<2%,17%,0.72,1.96,-0.39,AA,4.60%,19
97,洲明转债,123016,洲明科技,300232,电子,135.64,-2.26%,2.32%,13.63,0.07%,18,2.40%,9.45,4.93,44.20%,-6.00%,5.65年,3.65年,5.30%,7.60%,5.5,-2.81%,-3.28%,-2.91%,-6.72%,-6.91%,89.3,144.23,92.24,60.27,152.51,-11.10%,69%,<2%,16%,0.92,3.3,-1.12,AA-,4.20%,21
98,百合转债,113520,梦百合,603313,其他,128.91,3.73%,0.05%,25.25,4.25%,63,9.70%,19.03,3.7,32.70%,-2.80%,5.66年,3.66年,8.40%,11.10%,5.1,-1.93%,-2.41%,-2.02%,-5.51%,-5.69%,88.79,132.69,91.73,50.77,142.5,-9.50%,40%,<2%,16%,0.89,2.8,-0.77,AA-,4.30%,19
99,张行转债,128048,张家港行,2839,金融,116.701,-0.76%,-0.73%,6.95,-1.97%,15,0.50%,6.06,1.4,14.70%,1.80%,5.67年,无权,19.90%,22.80%,25,-0.37%,-0.82%,-0.46%,无权,无权,无权,114.69,90.73,36.37,127.11,-8.20%,57%,<2%,18%,0.76,2.4,-0.68,AA+,4.20%,38
100,科森转债,113521,科森科技,603626,通信互联网,116.81,-2.72%,-1.52%,10.66,-5.33%,24,3.30%,8.95,2.53,19.10%,-1.90%,5.68年,3.68年,13.80%,16.40%,6.1,-0.17%,-0.66%,-0.27%,-3.00%,-3.19%,88.3,119.11,91.03,40.76,131.78,-11.40%,64%,<2%,18%,0.8,3.08,-1.16,AA,4.40%,73
101,特发转债,127008,特发信息,70,通信互联网,185.6,1.87%,1.88%,16.29,3.82%,"1,217",157%,6.78,4.81,140%,-22.80%,4.68年,2.68年,4.10%,9.90%,4.2,-10.40%,-10.10%,-10.40%,-12.40%,-12.50%,91.41,240.27,92.87,152.04,244.91,-24.20%,60%,<2%,17%,0.98,7.66,-3.84,AA,4.00%,40
102,桐昆转债,113020,桐昆股份,601233,服装纺织,114.81,0.01%,-1.11%,13.09,-1.58%,34,0.80%,12.63,1.52,3.60%,10.80%,5.69年,3.69年,15.90%,16.50%,38,-0.27%,-0.68%,-0.35%,-2.65%,-2.82%,88.21,103.64,89.4,27,116.4,-1.40%,48%,13%,16%,0.7,0.78,0.64,AA+,4.30%,21
103,圆通转债,110046,圆通速递,600233,交通运输,123.02,-3.19%,-2.54%,13.18,-7.12%,93,2.00%,10.89,3.62,21.00%,1.60%,5.69年,3.69年,9.80%,11.80%,36.5,-1.11%,-1.59%,-1.20%,-4.28%,-4.47%,89.01,121.03,91.95,39.45,131.4,-6.40%,61%,<2%,16%,0.81,2.08,-0.33,AA+,4.20%,35
104,寒锐转债,123017,寒锐钴业,300618,有色金属,110.8,0.93%,0.88%,80.2,2.48%,31,6.40%,81.49,8.61,-1.60%,12.60%,5.69年,3.69年,2.90%,2.80%,4.4,0.05%,-0.31%,-0.02%,-1.74%,-1.92%,87,98.42,86.08,25.08,111.17,-0.30%,78%,17%,16%,0.73,0.3,1.16,AA-,4.70%,40
105,山鹰转债,110047,山鹰纸业,600567,造纸包装印刷,117.47,-0.25%,0.06%,3.97,-0.25%,56,2.10%,3.34,1.5,18.90%,-1.20%,5.69年,3.69年,12.60%,15.00%,23,0.16%,-0.41%,0.04%,-3.18%,-3.36%,88.65,118.86,94.04,36.99,131.03,-10.40%,29%,<2%,16%,0.78,2.97,-1.11,AA+,4.20%,67
106,旭升转债,113522,旭升股份,603305,汽车,122.26,-1.21%,2.06%,38.8,0.99%,33,6.40%,29.86,11.57,29.90%,-5.90%,5.69年,3.69年,2.70%,3.50%,4.2,-0.29%,-0.89%,-0.41%,-4.19%,-4.36%,88.41,129.94,95.13,44.58,139.72,-12.50%,63%,<2%,16%,0.86,3.54,-1.4,AA,4.30%,19
107,华源转债,128049,华源控股,2787,造纸包装印刷,110.186,-1.23%,0.23%,8.19,-1.33%,16,3.70%,7.57,1.88,8.20%,1.80%,5.71年,3.71年,15.60%,16.90%,4,0.88%,0.38%,0.78%,-1.49%,-1.68%,87.51,108.19,89.89,32.62,122.51,-10.10%,75%,<2%,18%,0.75,2.53,-0.8,AA-,4.60%,60
108,福能转债,110048,福能股份,600483,能源电力,116,-1.53%,-0.58%,9.31,-2.92%,6.3,0.20%,8.69,1.32,7.10%,8.30%,5.74年,3.74年,19.60%,21.00%,28.3,-0.26%,-0.71%,-0.35%,-2.83%,-3.01%,88.28,107.13,90.29,29.15,119.44,-2.90%,29%,10%,16%,0.72,1.15,0.33,AA+,4.30%,13
109,伟明转债,113523,伟明环保,603568,城市公用设施,111.6,0.17%,-0.58%,25.22,-0.55%,4.2,0.60%,23.92,6.32,5.40%,5.80%,5.74年,3.74年,3.90%,4.10%,6.7,0.58%,0.10%,0.48%,-1.85%,-2.03%,87.51,105.43,89.93,28.09,118.02,-5.40%,43%,8%,16%,0.75,1.5,0.06,AA,4.50%,23
110,钧达转债,128050,钧达股份,2865,汽车,108.58,-0.60%,0.02%,21.45,-0.92%,9.6,2.80%,21.74,3.02,-1.30%,10.00%,5.74年,3.74年,12.30%,12.10%,3.2,2.40%,1.68%,2.26%,-1.00%,-1.22%,86.72,98.67,94.67,23.12,117.79,-7.80%,66%,7%,18%,0.63,1.68,-0.32,AA-,4.90%,69
111,光华转债,128051,光华科技,2741,汽车,107.17,-0.42%,-0.58%,15.75,-1.56%,10,3.70%,17.03,4.9,-7.50%,15.90%,5.75年,3.75年,4.20%,3.90%,2.5,1.41%,0.91%,1.31%,-0.69%,-0.90%,86.67,92.48,88.61,21.28,109.89,-2.50%,39%,13%,17%,0.64,0.51,0.78,AA-,4.90%,15
112,奇精转债,113524,奇精机械,603677,家电,108.69,-2.02%,0.20%,15.38,-2.60%,5.5,1.50%,14.76,3.13,4.20%,4.30%,5.75年,3.75年,10.90%,11.40%,3.3,1.51%,0.94%,1.40%,-1.18%,-1.36%,87.17,104.2,91.76,27.63,119.39,-9.00%,61%,<2%,18%,0.7,2.23,-0.65,AA,4.60%,54
113,台华转债,113525,台华新材,603055,服装纺织,113.4,-1.84%,-0.36%,12.19,-3.02%,4.9,0.80%,11.56,2.67,5.40%,7.50%,5.76年,3.76年,7.90%,8.40%,5.3,0.29%,-0.18%,0.20%,-2.25%,-2.43%,87.31,105.45,89.68,29.85,119.53,-5.10%,46%,11%,17%,0.73,1.4,0.12,AA,4.50%,6
114,海尔转债,110049,青岛海尔,600690,家电,121.5,-0.16%,1.05%,16.06,1.20%,57,1.60%,14.55,2.78,10.40%,10.10%,5.77年,3.77年,2.90%,3.20%,30.1,-1.74%,-2.05%,-1.80%,-4.02%,-4.18%,88.81,110.38,88.08,33.37,121.45,0.00%,32%,17%,16%,0.74,0.74,0.74,AAA,4.00%,25
115,佳都转债,110050,佳都科技,600728,计算机及应用,135.49,-2.99%,0.19%,11.9,-3.02%,429,35.20%,7.95,5.85,49.70%,-9.50%,5.77年,3.77年,4.50%,6.80%,8.8,-2.95%,-3.38%,-3.04%,-6.60%,-6.76%,88.6,149.69,90.81,66.34,157.16,-13.80%,71%,<2%,16%,0.93,4.12,-1.71,AA,4.10%,17
116,溢利转债,123018,溢多利,300381,医药,114.45,-1.34%,0.36%,10.27,-1.15%,22,2.90%,8.41,2.09,22.10%,-6.30%,5.77年,3.77年,15.90%,19.40%,6.7,0.13%,-0.34%,0.04%,-2.47%,-2.65%,87.81,122.12,90.43,42.08,132.51,-13.60%,78%,<2%,17%,0.85,3.73,-1.56,AA-,4.40%,42
117,凯龙转债,128052,凯龙股份,2783,石油天然气化工,118.15,-0.44%,0.63%,8.72,0.23%,20,5.10%,6.97,2,25.10%,-5.60%,5.77年,3.77年,11.30%,14.20%,3.3,-0.40%,-0.87%,-0.49%,-3.22%,-3.40%,88.24,125.11,90.98,44.31,135.29,-12.70%,77%,<2%,17%,0.85,3.56,-1.44,AA,4.30%,27
118,冰轮转债,127009,冰轮环境,811,机械装备制造,123.2,-0.65%,-0.31%,7.11,-1.11%,19,3.00%,5.52,1.62,28.80%,-4.40%,5.84年,3.84年,11.00%,14.10%,5.1,-1.15%,-1.60%,-1.24%,-4.22%,-4.39%,87.89,128.8,90.68,48.65,139.33,-11.60%,43%,<2%,17%,0.86,3.29,-1.2,AA,4.30%,21
119,平银转债,127010,平安银行,1,金融,116.4,-0.21%,0.26%,12.37,0.08%,436,1.40%,11.77,0.97,5.10%,10.80%,5.86年,无权,12.20%,12.90%,260,0.24%,-0.30%,0.13%,无权,无权,无权,105.1,94.3,28.65,122.95,-5.30%,29%,10%,16%,0.62,1.8,-0.42,AAA,4.00%,44
120,联泰转债,113526,联泰环保,603797,城市公用设施,111.89,-0.67%,-1.08%,13.56,-2.24%,3.4,0.80%,12.31,2.74,10.20%,1.60%,5.86年,3.86年,13.50%,14.90%,3.9,-0.12%,-0.47%,-0.19%,-1.91%,-2.07%,87.08,110.15,86.5,35.68,122.18,-8.40%,50%,<2%,18%,0.78,2.3,-0.56,AA,4.40%,17
121,维格转债,113527,维格娜丝,603518,服装纺织,110.27,-0.29%,-0.19%,16.15,-0.68%,28,3.40%,14.96,1.28,8.00%,2.10%,5.87年,3.87年,25.60%,27.60%,7.5,1.58%,0.96%,1.46%,-1.45%,-1.64%,87.02,107.95,93.3,30.18,123.48,-10.70%,39%,<2%,18%,0.71,2.67,-0.99,AA,4.60%,38
122,尚荣转债,128053,尚荣医疗,2551,医药,119.5,-2.07%,-1.74%,6.41,-4.33%,174,19.20%,4.94,1.96,29.80%,-7.90%,5.92年,3.92年,16.60%,21.50%,7.5,-0.61%,-1.07%,-0.70%,-3.41%,-3.58%,87.71,129.76,90.55,48.25,138.8,-13.90%,43%,<2%,16%,0.88,3.97,-1.68,AA,4.20%,44
123,U中宠转,128054,中宠股份,2891,农业,100,0.00%,0.00%,40.3,-5.66%,0,0.00%,37.97,5.5,6.10%,-5.80%,5.93年,3.93年,4.80%,5.10%,1.9,2.52%,2.03%,2.42%,0.96%,0.77%,86.52,106.14,88.87,30.01,118.88,-15.90%,49%,<2%,16%,0.79,4,-1.85,A+,4.60%,2
124,U中来转,123019,中来股份,300393,能源电力,100,0.00%,0.00%,25,3.35%,0,0.00%,20.41,2.39,22.50%,-18.40%,5.95年,3.95年,16.60%,20.30%,10,3.89%,3.15%,3.74%,1.16%,0.93%,87.56,122.49,96.56,41.07,137.63,-27.30%,48%,<2%,18%,0.79,7.96,-4.27,AA-,4.50%,17
125,U长青转,128055,长青股份,2391,石油天然气化工,100,0.00%,0.00%,13.66,-2.15%,0,0.00%,11.41,1.51,19.70%,-16.50%,5.96年,3.96年,18.60%,22.30%,9.1,2.49%,2.01%,2.40%,0.96%,0.77%,87.48,119.72,90.17,39.79,129.96,-23.10%,31%,<2%,16%,0.84,6.68,-3.5,AA,4.30%,6
126,U中天转,110051,中天科技,600522,通信互联网,100,0.00%,0.00%,10.01,-3.29%,0,0.00%,10.29,1.63,-2.70%,2.80%,5.96年,3.96年,12.90%,12.60%,39.7,2.31%,1.86%,2.22%,0.92%,0.73%,87.17,97.28,89.04,22.68,111.71,-10.50%,64%,<2%,16%,0.64,2.83,-1.23,AA+,4.40%,10
127,U今飞转,128056,今飞凯达,2863,汽车,100,0.00%,0.00%,7.11,-2.47%,0,0.00%,6.8,2.84,4.60%,-4.40%,5.96年,3.96年,13.70%,14.40%,3.7,3.41%,2.76%,3.28%,1.15%,0.92%,86.59,104.56,92.6,27.62,120.22,-16.80%,73%,<2%,17%,0.74,4.11,-2.01,A+,4.80%,8
128,U长城转,113528,长城科技,603897,机械装备制造,100,0.00%,0.00%,25.4,-3.93%,0,0.00%,24.18,2.76,5.00%,-4.80%,5.97年,3.97年,14.00%,14.70%,6.3,2.89%,2.33%,2.78%,1.07%,0.85%,86.76,105.05,90.61,29.5,120.11,-16.70%,58%,<2%,17%,0.74,4.23,-2.09,AA-,4.60%,13
129,U富祥转,123020,富祥股份,300497,医药,100,0.00%,0.00%,18.25,-2.56%,0,0.00%,18.05,3.75,1.10%,-1.10%,5.97年,3.97年,10.30%,10.40%,4.2,3.33%,2.70%,3.20%,1.07%,0.86%,86.39,101.11,92.32,24.57,116.89,-14.50%,64%,<2%,16%,0.7,3.5,-1.64,AA-,4.80%,8
130,U中信转,113021,中信银行,601998,金融,100,0.00%,0.00%,6.33,-0.63%,0,0.00%,7.45,0.8,-15.00%,17.70%,5.98年,无权,12.90%,11.00%,400,3.04%,2.46%,2.93%,无权,无权,无权,84.97,94.76,16.09,110.85,-9.80%,23%,5%,17%,0.41,2.65,-1.51,AAA,4.00%,8
131,U万信转,123021,万达信息,300168,计算机及应用,100,0.00%,0.00%,15.53,-8.32%,0,0.00%,13.62,4.84,14.00%,-12.30%,5.98年,3.98年,7.00%,8.00%,12,2.90%,2.35%,2.79%,0.91%,0.73%,86.94,114.02,91.8,33.77,125.57,-20.40%,55%,<2%,16%,0.79,5.66,-2.95,AA,4.40%,10
132,U贵广转,110052,贵广网络,600996,传媒娱乐,100,0.00%,0.00%,10.4,-6.64%,0,0.00%,8.13,2.51,27.90%,-21.80%,5.98年,3.98年,14.80%,18.90%,16,3.01%,2.44%,2.90%,1.04%,0.83%,88.24,127.92,93.66,44.73,138.39,-27.70%,39%,<2%,16%,0.83,8.64,-4.58,AA+,4.20%,8
133,U博彦转,128057,博彦科技,2649,计算机及应用,100,0.00%,0.00%,10,-4.58%,0,0.00%,8.9,2.27,12.40%,-11.00%,5.98年,3.98年,11.00%,12.30%,5.8,2.80%,2.26%,2.70%,0.98%,0.79%,86.96,112.36,90.93,33.09,124.03,-19.40%,74%,<2%,16%,0.81,5.25,-2.67,AA-,4.50%,15
134,U拓邦转,128058,拓邦股份,2139,电子,100,0.00%,0.00%,5.94,-4.35%,0,0.00%,5.64,2.88,5.30%,-5.10%,5.98年,3.98年,9.50%,10.00%,5.7,3.60%,2.91%,3.46%,1.18%,0.94%,87.22,105.32,94.52,27.02,121.54,-17.70%,59%,<2%,16%,0.7,4.61,-2.42,AA,4.60%,13
135,U中鼎转,127011,中鼎股份,887,汽车,100,0.00%,0.00%,13.07,-2.10%,0,0.00%,11.99,1.93,9.00%,-8.30%,5.99年,3.99年,7.50%,8.20%,12,2.52%,2.03%,2.42%,0.97%,0.77%,87.57,109.01,90.47,32.01,122.48,-18.40%,44%,<2%,17%,0.72,5.15,-2.75,AA+,4.30%,4
136,U视源转,128059,视源股份,2841,电子,100,0.00%,0.00%,78.43,1.59%,0,0.00%,76.25,15.99,2.90%,-2.80%,5.995年,3.995年,1.80%,1.90%,9.4,2.30%,1.85%,2.21%,0.91%,0.73%,86.54,102.86,88.17,27.44,115.61,-13.50%,57%,<2%,16%,0.75,3.46,-1.53,AA,4.50%,6
137,U绝味转,113529,绝味食品,603517,食品饮料,100,0.00%,0.00%,44.41,-0.69%,0,0.00%,40.52,6.34,9.60%,-8.80%,5.995年,3.995年,5.50%,6.00%,10,2.89%,2.34%,2.78%,0.91%,0.73%,86.66,109.6,91.42,30.57,121.99,-18.00%,46%,<2%,16%,0.76,4.83,-2.46,AA,4.50%,4
138,U浙商转,113022,浙商证券,601878,金融,100,0.00%,0.00%,11.58,-4.30%,0,0.00%,12.53,2.84,-7.60%,8.20%,5.998年,无权,9.10%,8.40%,35,1.63%,1.31%,1.56%,无权,无权,无权,92.42,87.29,22.18,109.46,-8.60%,49%,<2%,18%,0.56,2.56,-1.17,AAA,4.00%,2
139,U苏银转,110053,江苏银行,600919,金融,100,0.00%,0.00%,7.27,-1.36%,0,0.00%,7.9,0.84,-8.00%,8.70%,6年0.3天,无权,23.80%,21.90%,200,3.06%,2.47%,2.94%,无权,无权,无权,92.03,94.81,21.52,116.33,-14.00%,25%,<2%,18%,0.49,3.85,-2.25,AAA,4.00%,0
140,U伊力转,110055,伊力特,600197,食品饮料,100,0.00%,0.00%,17.39,2.05%,0,0.00%,17.6,3.26,-1.20%,1.20%,6年1.3天,4年1.3天,11.40%,11.30%,8.8,2.48%,2.00%,2.38%,0.95%,0.76%,86.36,98.81,88.6,24.54,113.14,-11.60%,41%,<2%,16%,0.7,2.91,-1.2,AA,4.60%,0
