,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
序号,转债名称,转债代码,股票名称,股票代码,行业,转债价格,涨跌,盘中套利,股价,涨跌,转债成交额,转债换手率,转股价格,P/B,股价/转股价,转股溢价率,剩余年限,回售年限,余额/市值,余额/股本,转债余额,税前收益率,税后收益率,加权收益率,税前回售收益,税后回售收益,回售价值,转股价值,纯债价值,期权价值,内在价值,价值溢价,历史波动,隐含波动,预测波动,弹性,涨修正弹,跌修正弹,信用,折现率,热门度
74,湖广转债,127007,湖北广电,665,传媒娱乐,116.23,2.32%,2.39%,9.26,6.07%,87,4.50%,7.92,0.98,16.90%,-0.60%,5.30年,3.30年,28.70%,33.50%,16.9,-0.44%,-0.90%,-0.53%,-3.17%,-3.39%,90.37,116.92,91.7,36.57,128.27,-9.40%,31%,<2%,17%,0.77,2.76,-0.95,AA+,4.20%,38
75,博世转债,123010,博世科,300422,城市公用设施,102.8,2.49%,-0.67%,11.56,3.68%,3.9,0.90%,14.3,3.11,-19.20%,27.20%,5.32年,3.32年,10.50%,8.50%,4.3,1.88%,1.42%,1.79%,0.28%,0.07%,86.99,80.84,86.75,13.4,100.16,2.60%,69%,21%,17%,0.49,-0.56,1.57,AA-,5.30%,28
76,景旺转债,113512,景旺电子,603228,电子,131.99,3.15%,0.95%,66.3,4.61%,68,6.20%,49.85,7.31,33.00%,-0.80%,5.32年,3.32年,3.10%,4.10%,8.4,-2.88%,-3.31%,-2.97%,-6.72%,-6.91%,90.01,133,91.34,50.12,141.46,-6.70%,38%,<2%,16%,0.89,2.2,-0.28,AA,4.20%,11
77,安井转债,113513,安井食品,603345,食品饮料,109.2,1.26%,0.14%,34.97,1.98%,4.5,0.80%,35.46,4.13,-1.40%,10.70%,5.33年,3.33年,6.60%,6.50%,5,0.67%,0.22%,0.58%,-1.51%,-1.70%,88.26,98.62,88.81,23.17,111.98,-2.50%,51%,14%,16%,0.71,0.74,0.69,AA-,4.70%,13
78,海澜转债,110045,海澜之家,600398,服装纺织,105.78,1.16%,0.16%,9.93,3.12%,14,0.50%,12.4,3.84,-19.90%,32.10%,5.34年,3.34年,6.70%,5.40%,30,1.08%,0.66%,0.99%,-0.81%,-0.97%,88.01,80.08,88.45,11.05,99.5,6.30%,31%,26%,16%,0.42,-0.98,1.86,AA+,4.60%,32
79,盛路转债,128041,盛路通信,2446,通信互联网,140.499,2.03%,1.35%,9.73,3.73%,24,6.70%,6.88,2.63,41.40%,-0.70%,5.35年,3.35年,3.10%,4.30%,2.5,-3.67%,-4.15%,-3.76%,-8.29%,-8.47%,90.2,141.42,93.19,56.46,149.65,-6.10%,52%,<2%,16%,0.91,2.1,-0.16,AA,4.20%,30
80,德尔转债,123011,德尔股份,300473,汽车,114,2.70%,-0.38%,37.98,3.09%,29,4.60%,34.96,2.19,8.60%,4.90%,5.35年,2.85年,14.00%,15.20%,5.6,0.60%,0.01%,0.48%,-3.24%,-3.44%,90.24,108.64,92.82,29.17,122,-6.60%,46%,<2%,17%,0.75,1.7,-0.11,AA-,4.60%,47
81,威帝转债,113514,威帝股份,603023,汽车,107.97,0.47%,1.97%,6.05,3.42%,20,9.30%,5.92,3.87,2.20%,5.60%,4.36年,2.36年,9.20%,9.40%,2,0.75%,0.26%,0.65%,-2.15%,-2.31%,90.76,102.2,90.92,23.96,114.88,-6.00%,71%,13%,18%,0.71,1.5,0,A+,4.90%,47
82,万顺转债,123012,万顺股份,300057,造纸包装印刷,119.48,1.94%,0.83%,7.78,3.32%,28,5.80%,6.47,1.28,20.20%,-0.60%,5.36年,3.36年,10.30%,12.40%,4.1,-1.34%,-1.72%,-1.42%,-3.95%,-4.15%,89.3,120.25,88.75,42.03,130.78,-8.60%,46%,<2%,18%,0.84,2.46,-0.6,AA-,4.40%,36
83,高能转债,113515,高能环境,603588,城市公用设施,117.83,3.54%,0.69%,10.53,5.30%,15,1.50%,9.38,2.84,12.30%,5.00%,5.37年,3.37年,12.10%,13.60%,8.4,-0.74%,-1.18%,-0.83%,-3.55%,-3.75%,89.26,112.26,90.31,32.96,123.27,-4.40%,68%,10%,16%,0.8,1.42,0.23,AA,4.40%,38
84,横河转债,123013,横河模具,300539,机械装备制造,135.3,-4.19%,0.89%,12.9,-3.66%,43,31.20%,9.26,7.03,39.30%,-2.90%,5.37年,3.37年,3.60%,5.10%,1,-2.81%,-3.32%,-2.91%,-7.08%,-7.30%,90.35,139.31,93.42,55.93,149.35,-9.40%,76%,<2%,17%,0.9,2.78,-0.74,A+,4.30%,43
85,凯中转债,128042,凯中精密,2823,能源电力,109.195,4.33%,2.00%,12.92,9.96%,14,3.10%,13.25,2.87,-2.50%,12.00%,5.38年,3.38年,11.10%,10.80%,4.2,1.36%,0.79%,1.25%,-1.43%,-1.63%,88.25,97.51,91.92,21.52,113.44,-3.70%,68%,15%,17%,0.64,0.98,0.33,AA,4.70%,53
86,凯发转债,123014,凯发电气,300407,能源电力,122.1,9.01%,-1.33%,8.83,9.96%,34,8.30%,8.15,2.49,8.30%,12.70%,4.38年,2.38年,14.30%,15.50%,3.5,-2.49%,-2.88%,-2.57%,-6.78%,-6.93%,91.07,108.34,89.88,29.26,119.14,2.50%,64%,20%,18%,0.77,-0.13,1.68,A+,4.70%,26
87,吴银转债,113516,吴江银行,603323,金融,125.98,0.96%,1.32%,8.01,2.82%,71,4.20%,6.34,1.3,26.30%,-0.30%,5.39年,无权,10.30%,13.00%,13.5,-1.61%,-2.11%,-1.71%,无权,无权,无权,126.34,93.09,44.25,137.34,-8.30%,49%,<2%,18%,0.81,2.54,-0.71,AA+,4.20%,38
88,东音转债,128043,东音股份,2793,机械装备制造,112.18,1.79%,1.08%,12.04,3.88%,6.4,2.10%,11.43,2.85,5.30%,6.50%,5.39年,3.39年,11.60%,12.20%,2.8,0.55%,0.04%,0.45%,-2.17%,-2.37%,88.47,105.34,90.83,28.39,119.21,-5.90%,70%,10%,17%,0.74,1.51,0.04,AA-,4.70%,30
89,曙光转债,113517,中科曙光,603019,计算机及应用,128,1.03%,0.11%,61,1.36%,106,7.20%,51.28,11.69,19.00%,7.60%,5.40年,3.40年,2.90%,3.40%,11.2,-2.27%,-2.70%,-2.36%,-5.75%,-5.94%,89.36,118.95,90.52,38.39,128.91,-0.70%,60%,16%,16%,0.83,0.72,0.95,AA,4.30%,4
90,蓝盾转债,123015,蓝盾股份,300297,计算机及应用,137.99,5.09%,-1.37%,8.15,4.09%,80,15.90%,5.82,2.29,40.00%,-1.50%,5.42年,3.42年,3.80%,5.30%,3.7,-3.63%,-4.05%,-3.72%,-7.69%,-7.87%,89.75,140.03,91.15,56.9,148.04,-6.80%,37%,<2%,16%,0.91,2.26,-0.3,AA,4.20%,51
91,岭南转债,128044,岭南股份,2717,城市公用设施,108.305,0.24%,1.81%,8.86,3.99%,11,1.60%,10.63,2.15,-16.70%,29.90%,5.42年,3.42年,7.30%,6.10%,6.6,0.65%,0.24%,0.57%,-1.24%,-1.43%,87.17,83.35,86.59,14.37,100.96,7.30%,68%,30%,16%,0.51,-1.28,2.4,AA,5.00%,28
92,机电转债,128045,中航机电,2013,航空航天,116.5,1.47%,0.76%,7.62,3.53%,29,1.20%,7.66,3.17,-0.50%,17.10%,5.46年,3.46年,7.60%,7.60%,21,-1.06%,-1.40%,-1.13%,-3.23%,-3.41%,89.88,99.48,89.14,23.97,113.11,3.00%,56%,22%,16%,0.63,0.04,1.22,AAA,4.00%,9
93,顾家转债,113518,顾家家居,603816,其他,116.72,1.76%,1.51%,55.34,4.42%,11,0.90%,52.38,5.59,5.70%,10.50%,5.50年,3.50年,4.60%,4.90%,11,-0.23%,-0.72%,-0.32%,-3.17%,-3.36%,88.4,105.65,90.84,27.47,118.3,-1.30%,39%,17%,16%,0.74,0.62,0.87,AA,4.50%,6
94,利尔转债,128046,利尔化学,2258,石油天然气化工,107.1,0.85%,0.22%,15.33,2.13%,1.9,0.20%,18.82,2.72,-18.50%,31.50%,5.60年,3.60年,10.60%,8.60%,8.5,1.03%,0.59%,0.94%,-0.84%,-1.03%,86.54,81.46,86.69,13.32,100,7.10%,61%,27%,16%,0.5,-1.3,2.39,AA,5.00%,13
95,光电转债,128047,中航光电,2179,机械装备制造,120.035,1.55%,0.30%,41.85,2.57%,9.5,0.60%,40.26,6,3.90%,15.50%,5.65年,3.65年,3.90%,4.10%,13,-1.56%,-1.88%,-1.62%,-3.83%,-4.00%,88.3,103.95,87.15,28.66,115.82,3.60%,34%,23%,16%,0.72,-0.16,1.61,AA+,4.30%,9
96,长久转债,113519,长久物流,603569,交通运输,116.35,6.33%,1.16%,13.5,10.00%,30,3.70%,11.99,3.36,12.60%,3.30%,5.66年,3.66年,9.30%,10.40%,7,0.65%,0.02%,0.52%,-2.90%,-3.09%,88.13,112.59,94.46,31.48,125.94,-7.60%,52%,7%,17%,0.75,2.04,-0.4,AA,4.50%,21
97,洲明转债,123016,洲明科技,300232,电子,136.8,4.23%,0.95%,13.17,5.70%,19,2.60%,9.45,4.76,39.40%,-1.80%,5.66年,3.66年,5.50%,7.60%,5.5,-2.96%,-3.43%,-3.05%,-6.92%,-7.11%,89.2,139.37,92.09,55.84,147.93,-7.50%,69%,<2%,16%,0.91,2.38,-0.4,AA-,4.20%,17
98,百合转债,113520,梦百合,603313,其他,124.1,3.50%,2.92%,23.85,7.43%,14,2.30%,19.03,3.5,25.30%,-1.00%,5.66年,3.66年,8.80%,11.10%,5.1,-1.25%,-1.74%,-1.35%,-4.55%,-4.73%,88.59,125.33,91.43,44.43,135.86,-8.70%,40%,<2%,16%,0.86,2.5,-0.57,AA-,4.30%,15
99,张行转债,128048,张家港行,2839,金融,117.72,0.80%,1.42%,7.09,2.90%,105,3.60%,6.06,1.43,17.00%,0.60%,5.67年,无权,19.50%,22.80%,25,-0.53%,-0.98%,-0.62%,无权,无权,无权,117,90.73,38.27,129,-8.70%,57%,<2%,18%,0.76,2.56,-0.8,AA+,4.20%,40
100,科森转债,113521,科森科技,603626,通信互联网,119.37,2.95%,2.04%,11.36,5.97%,75,10.50%,8.95,2.7,26.90%,-6.00%,5.68年,3.68年,12.90%,16.40%,6.1,-0.56%,-1.04%,-0.66%,-3.55%,-3.73%,88.54,126.93,91.4,47.12,138.51,-13.80%,64%,<2%,18%,0.84,3.85,-1.67,AA,4.30%,77
101,特发转债,127008,特发信息,70,通信互联网,177.6,2.94%,-4.81%,15.43,-1.91%,498,66.70%,6.78,4.56,128%,-22.00%,4.68年,2.68年,4.30%,9.90%,4.2,-9.57%,-9.95%,-9.64%,-11.70%,-11.80%,91.38,227.58,92.84,139.42,232.26,-23.50%,60%,<2%,17%,0.98,7.4,-3.71,AA,4.00%,38
102,桐昆转债,113020,桐昆股份,601233,服装纺织,115.03,1.21%,2.58%,13.35,5.28%,39,0.90%,12.63,1.55,5.70%,8.80%,5.69年,3.69年,15.60%,16.50%,38,-0.30%,-0.72%,-0.38%,-2.70%,-2.87%,88.24,105.7,89.46,28.51,117.98,-2.50%,48%,17%,16%,0.72,1.06,0.41,AA+,4.30%,21
103,圆通转债,110046,圆通速递,600233,交通运输,123.55,3.74%,4.55%,13.62,10.00%,203,4.50%,10.89,3.74,25.10%,-1.20%,5.69年,3.69年,9.50%,11.80%,36.5,-1.18%,-1.66%,-1.28%,-4.39%,-4.57%,89.07,125.07,92.04,42.89,134.94,-8.40%,61%,<2%,16%,0.83,2.61,-0.73,AA+,4.20%,36
104,寒锐转债,123017,寒锐钴业,300618,有色金属,109.199,1.05%,0.84%,78.21,2.68%,9.1,1.90%,81.49,8.4,-4.00%,13.80%,5.69年,3.69年,2.90%,2.80%,4.4,0.31%,-0.05%,0.24%,-1.36%,-1.54%,86.78,95.97,85.78,23.41,109.19,0.00%,78%,18%,16%,0.71,0.21,1.2,AA-,4.70%,40
105,山鹰转债,110047,山鹰纸业,600567,造纸包装印刷,116.72,2.57%,0.06%,3.97,3.39%,104,3.90%,3.34,1.5,18.90%,-1.80%,5.70年,3.70年,12.60%,15.00%,23,0.27%,-0.29%,0.16%,-3.01%,-3.19%,88.63,118.86,94.03,37,131.03,-10.90%,29%,<2%,16%,0.78,3.12,-1.22,AA+,4.20%,64
106,旭升转债,113522,旭升股份,603305,汽车,120.41,2.95%,4.15%,34.93,8.95%,23,4.70%,29.86,10.42,17.00%,2.90%,5.70年,3.70年,3.00%,3.50%,4.2,-0.02%,-0.63%,-0.14%,-3.80%,-3.98%,87.98,116.98,94.47,34.13,128.59,-6.40%,63%,13%,16%,0.79,1.84,-0.15,AA,4.40%,13
107,华源转债,128049,华源控股,2787,造纸包装印刷,110.533,2.73%,1.86%,8.21,6.07%,18,4.00%,7.57,1.88,8.50%,1.90%,5.71年,3.71年,15.50%,16.90%,4,0.82%,0.32%,0.72%,-1.57%,-1.76%,87.5,108.45,89.9,32.82,122.71,-9.90%,75%,<2%,18%,0.75,2.5,-0.77,AA-,4.60%,62
108,福能转债,110048,福能股份,600483,能源电力,116.23,1.07%,2.69%,9.51,5.08%,35,1.10%,8.69,1.35,9.40%,6.20%,5.74年,3.74年,19.20%,21.00%,28.3,-0.30%,-0.74%,-0.39%,-2.88%,-3.06%,88.33,109.44,90.37,30.87,121.24,-4.10%,29%,14%,16%,0.74,1.46,0.08,AA+,4.30%,13
109,伟明转债,113523,伟明环保,603568,城市公用设施,110.13,0.49%,2.03%,24.78,3.42%,11,1.40%,23.92,6.21,3.60%,6.30%,5.75年,3.75年,3.90%,4.10%,6.7,0.82%,0.34%,0.72%,-1.51%,-1.70%,87.43,103.6,89.82,26.75,116.57,-5.50%,43%,11%,16%,0.74,1.49,0.06,AA,4.50%,23
110,钧达转债,128050,钧达股份,2865,汽车,108.488,2.17%,0.37%,21.71,4.02%,6,1.70%,21.74,3.06,-0.10%,8.60%,5.75年,3.75年,12.10%,12.10%,3.2,2.42%,1.69%,2.27%,-0.98%,-1.20%,86.75,99.86,94.72,23.9,118.62,-8.50%,66%,8%,18%,0.63,1.88,-0.48,AA-,4.90%,70
111,光华转债,128051,光华科技,2741,汽车,107.201,1.35%,0.96%,16.05,3.55%,5.1,1.90%,17.03,4.99,-5.80%,13.70%,5.76年,3.76年,4.20%,3.90%,2.5,1.41%,0.90%,1.31%,-0.70%,-0.91%,86.75,94.25,88.73,22.42,111.15,-3.60%,39%,14%,17%,0.65,0.78,0.54,AA-,4.90%,15
112,奇精转债,113524,奇精机械,603677,家电,110,2.88%,-2.33%,15.55,0.78%,9.7,2.70%,14.76,3.16,5.40%,4.40%,5.76年,3.76年,10.80%,11.40%,3.3,1.29%,0.73%,1.18%,-1.48%,-1.66%,87.22,105.35,91.84,28.46,120.3,-8.60%,61%,<2%,18%,0.71,2.14,-0.55,AA,4.60%,60
113,台华转债,113525,台华新材,603055,服装纺织,115,1.23%,0.61%,12.28,2.50%,16,2.70%,11.56,2.69,6.20%,8.30%,5.77年,3.77年,7.90%,8.40%,5.3,0.05%,-0.43%,-0.05%,-2.59%,-2.77%,87.34,106.23,89.72,30.42,120.13,-4.30%,46%,12%,17%,0.73,1.22,0.29,AA,4.50%,6
114,海尔转债,110049,青岛海尔,600690,家电,121.57,0.72%,1.25%,16.14,2.67%,74,2.00%,14.55,2.79,10.90%,9.60%,5.77年,3.77年,2.90%,3.20%,30.1,-1.75%,-2.06%,-1.81%,-4.03%,-4.19%,88.79,110.93,88.06,33.84,121.9,-0.30%,32%,19%,16%,0.74,0.81,0.68,AAA,4.00%,26
115,佳都转债,110050,佳都科技,600728,计算机及应用,137.67,0.23%,2.05%,11.58,2.48%,79,6.60%,7.95,5.69,45.70%,-5.50%,5.77年,3.77年,4.70%,6.80%,8.8,-3.22%,-3.64%,-3.31%,-6.97%,-7.14%,88.53,145.66,90.73,62.65,153.38,-10.20%,71%,<2%,16%,0.92,3.14,-0.99,AA,4.20%,15
116,溢利转债,123018,溢多利,300381,医药,116.01,0.88%,1.23%,10.32,2.48%,49,6.30%,8.41,2.1,22.70%,-5.50%,5.78年,3.78年,15.80%,19.40%,6.7,-0.11%,-0.58%,-0.20%,-2.81%,-2.98%,87.81,122.71,90.45,42.57,133.01,-12.80%,78%,<2%,17%,0.85,3.51,-1.39,AA-,4.40%,43
117,凯龙转债,128052,凯龙股份,2783,石油天然气化工,119.4,4.83%,3.62%,8.69,10.00%,40,10.50%,6.97,1.99,24.70%,-4.20%,5.78年,3.78年,11.40%,14.20%,3.3,-0.58%,-1.06%,-0.68%,-3.47%,-3.66%,88.21,124.68,90.95,43.96,134.9,-11.50%,77%,<2%,17%,0.84,3.25,-1.2,AA,4.30%,26
118,冰轮转债,127009,冰轮环境,811,机械装备制造,123.58,6.50%,1.94%,6.95,9.97%,33,5.40%,5.52,1.58,25.90%,-1.80%,5.84年,3.84年,11.20%,14.10%,5.1,-1.20%,-1.66%,-1.29%,-4.29%,-4.46%,87.79,125.91,90.53,46.18,136.71,-9.60%,43%,<2%,17%,0.85,2.76,-0.81,AA,4.30%,19
119,平银转债,127010,平安银行,1,金融,116.75,0.84%,-0.74%,12.32,0.16%,362,1.20%,11.77,0.96,4.70%,11.50%,5.86年,无权,12.30%,12.90%,260,0.19%,-0.35%,0.08%,无权,无权,无权,104.67,94.28,28.35,122.63,-4.80%,29%,8%,16%,0.62,1.67,-0.32,AAA,4.00%,47
120,联泰转债,113526,联泰环保,603797,城市公用设施,111.74,1.01%,0.99%,13.69,2.55%,16,3.80%,12.31,2.77,11.20%,0.50%,5.87年,3.87年,13.40%,14.90%,3.9,-0.10%,-0.45%,-0.17%,-1.87%,-2.04%,87.11,111.21,86.56,36.52,123.07,-9.20%,50%,<2%,18%,0.79,2.5,-0.71,AA,4.40%,17
121,维格转债,113527,维格娜丝,603518,服装纺织,110.1,1.29%,1.27%,16.17,3.59%,44,5.40%,14.96,1.28,8.10%,1.90%,5.87年,3.87年,25.60%,27.60%,7.5,1.61%,0.99%,1.48%,-1.41%,-1.60%,87.01,108.09,93.28,30.3,123.58,-10.90%,40%,<2%,18%,0.71,2.73,-1.03,AA,4.60%,40
122,尚荣转债,128053,尚荣医疗,2551,医药,118.95,3.44%,4.06%,6.33,8.58%,314,35.80%,4.94,1.93,28.10%,-7.20%,5.93年,3.93年,16.80%,21.50%,7.5,-0.53%,-0.99%,-0.62%,-3.30%,-3.47%,87.66,128.14,90.48,46.86,137.34,-13.40%,43%,<2%,16%,0.87,3.81,-1.57,AA,4.30%,43
123,U中宠转,128054,中宠股份,2891,农业,100,0.00%,0.00%,40.64,2.32%,0,0.00%,37.97,5.55,7.00%,-6.60%,5.93年,3.93年,4.80%,5.10%,1.9,2.52%,2.03%,2.42%,0.95%,0.76%,86.56,107.03,88.94,30.67,119.61,-16.40%,49%,<2%,16%,0.8,4.18,-1.96,A+,4.60%,2
124,U中来转,123019,中来股份,300393,能源电力,100,0.00%,0.00%,24.31,10.00%,0,0.00%,20.41,2.33,19.10%,-16.00%,5.96年,3.96年,17.10%,20.30%,10,3.88%,3.15%,3.74%,1.16%,0.93%,87.36,119.11,96.26,38.45,134.71,-25.80%,48%,<2%,18%,0.77,7.33,-3.97,AA-,4.60%,19
125,U长青转,128055,长青股份,2391,石油天然气化工,100,0.00%,0.00%,13.95,-0.57%,0,0.00%,11.41,1.54,22.30%,-18.20%,5.96年,3.96年,18.20%,22.30%,9.1,2.49%,2.01%,2.40%,0.96%,0.77%,87.54,122.26,90.27,41.85,132.13,-24.30%,31%,<2%,16%,0.85,7.18,-3.77,AA,4.30%,6
126,U中天转,110051,中天科技,600522,通信互联网,100,0.00%,0.00%,10.38,4.32%,0,0.00%,10.29,1.69,0.90%,-0.90%,5.97年,3.97年,12.50%,12.60%,39.7,2.31%,1.86%,2.22%,0.91%,0.73%,87.28,100.87,89.21,25.29,114.5,-12.70%,64%,<2%,16%,0.68,3.42,-1.62,AA+,4.30%,9
127,U今飞转,128056,今飞凯达,2863,汽车,100,0.00%,0.00%,7.15,4.08%,0,0.00%,6.8,2.85,5.10%,-4.90%,5.97年,3.97年,13.70%,14.40%,3.7,3.41%,2.76%,3.28%,1.15%,0.92%,86.62,105.15,92.66,28.05,120.7,-17.20%,73%,<2%,17%,0.74,4.22,-2.08,A+,4.80%,6
128,U长城转,113528,长城科技,603897,机械装备制造,100,0.00%,0.00%,26.45,4.71%,0,0.00%,24.18,2.87,9.40%,-8.60%,5.97年,3.97年,13.40%,14.70%,6.3,2.89%,2.33%,2.77%,1.07%,0.85%,86.93,109.39,90.87,32.67,123.53,-19.10%,57%,<2%,17%,0.76,5.02,-2.59,AA-,4.60%,11
129,U富祥转,123020,富祥股份,300497,医药,100,0.00%,0.00%,18.58,4.26%,0,0.00%,18.05,3.82,2.90%,-2.90%,5.97年,3.97年,10.10%,10.40%,4.2,3.33%,2.69%,3.20%,1.07%,0.85%,86.51,102.94,92.52,25.72,118.24,-15.40%,64%,<2%,16%,0.71,3.83,-1.85,AA-,4.70%,9
130,U中信转,113021,中信银行,601998,金融,100,0.00%,0.00%,6.34,0.16%,0,0.00%,7.45,0.8,-14.90%,17.50%,5.98年,无权,12.90%,11.00%,400,3.04%,2.46%,2.92%,无权,无权,无权,85.1,94.74,16.17,110.92,-9.80%,23%,5%,17%,0.41,2.67,-1.52,AAA,4.00%,6
131,U万信转,123021,万达信息,300168,计算机及应用,100,0.00%,0.00%,16.6,5.26%,0,0.00%,13.62,5.18,21.90%,-18.00%,5.98年,3.98年,6.60%,8.00%,12,2.90%,2.34%,2.79%,0.91%,0.73%,87.2,121.88,92.21,40.1,132.31,-24.40%,55%,<2%,16%,0.83,7.14,-3.77,AA,4.30%,11
132,U贵广转,110052,贵广网络,600996,传媒娱乐,100,0.00%,0.00%,10.87,7.20%,0,0.00%,8.13,2.63,33.70%,-25.20%,5.98年,3.98年,14.10%,18.90%,16,3.01%,2.43%,2.90%,1.04%,0.83%,88.31,133.7,93.77,49.82,143.59,-30.40%,39%,<2%,16%,0.85,9.75,-5.08,AA+,4.10%,4
133,U博彦转,128057,博彦科技,2649,计算机及应用,100,0.00%,0.00%,10.22,4.18%,0,0.00%,8.9,2.31,14.80%,-12.90%,5.98年,3.98年,10.70%,12.30%,5.8,2.80%,2.26%,2.69%,0.98%,0.79%,87.08,114.83,91.11,35.06,126.17,-20.70%,74%,<2%,16%,0.82,5.72,-2.95,AA-,4.40%,13
134,U拓邦转,128058,拓邦股份,2139,电子,100,0.00%,0.00%,6.1,7.02%,0,0.00%,5.64,2.96,8.20%,-7.50%,5.99年,3.99年,9.20%,10.00%,5.7,3.60%,2.91%,3.46%,1.17%,0.94%,87.38,108.16,94.76,29.08,123.84,-19.30%,59%,<2%,16%,0.72,5.1,-2.71,AA,4.60%,4
135,U中鼎转,127011,中鼎股份,887,汽车,100,0.00%,0.00%,12.73,1.84%,0,0.00%,11.99,1.88,6.20%,-5.80%,5.99年,3.99年,7.70%,8.20%,12,2.51%,2.03%,2.42%,0.97%,0.77%,87.48,106.17,90.33,29.97,120.3,-16.90%,44%,<2%,17%,0.7,4.64,-2.45,AA+,4.30%,2
136,U视源转,128059,视源股份,2841,电子,100,0.00%,0.00%,77,5.55%,0,0.00%,76.25,15.7,1.00%,-1.00%,6.00年,4.00年,1.90%,1.90%,9.4,2.29%,1.85%,2.21%,0.91%,0.73%,86.4,100.98,87.97,26.51,114.48,-12.70%,57%,<2%,16%,0.73,3.22,-1.38,AA,4.50%,0
137,U绝味转,113529,绝味食品,603517,食品饮料,100,0.00%,0.00%,44.1,2.56%,0,0.00%,40.52,6.3,8.80%,-8.10%,6.00年,4.00年,5.50%,6.00%,10,2.89%,2.34%,2.78%,0.91%,0.73%,86.59,108.84,91.32,30.44,121.76,-17.90%,46%,<2%,16%,0.76,4.76,-2.43,AA,4.50%,0
138,U浙商转,113022,浙商证券,601878,金融,100,0.00%,0.00%,12,3.00%,0,0.00%,12.53,2.94,-4.20%,4.40%,6年0.1天,无权,8.80%,8.40%,35,1.63%,1.31%,1.56%,无权,无权,无权,95.77,87.27,24.61,111.88,-10.60%,49%,6%,18%,0.6,3.08,-1.5,AAA,4.00%,2
139,U苏银转,110053,江苏银行,600919,金融,100,0.00%,0.00%,7.27,2.25%,0,0.00%,7.9,0.84,-8.00%,8.70%,6年2天,无权,23.80%,21.90%,200,3.05%,2.47%,2.94%,无权,无权,无权,92.03,94.79,21.53,116.33,-14.00%,0%,0%,18%,0.49,3.85,-2.25,AAA,4.00%,0
